รุ่นเคส,ลิงก์หน้าสินค้า / หน้าค้นหา JIB,ขนาดเมนบอร์ดที่รองรับ,ราคา (บาท)
COUGAR PURITY (BLACK) (MICRO-ATX),https://www.jib.co.th/web/product/product_search/0?str_search=COUGAR%20PURITY%20(BLACK)%20(MICRO-ATX)&cate_id[]=,Micro-ATX / Mini-ITX,1290
MONTECH X3 GLASS (BLACK) (ATX),https://www.jib.co.th/web/product/readProduct/47922/42/CASE--%E0%B9%80%E0%B8%84%E0%B8%AA--MONTECH-X3-GLASS--BLACK,ATX / Micro-ATX / Mini-ITX,1750
MONTECH X3 GLASS (WHITE) (ATX),https://www.jib.co.th/web/product/readProduct/47921/184/CASE--%E0%B9%80%E0%B8%84%E0%B8%AA--MONTECH-X3-GLASS-WHITE,ATX / Micro-ATX / Mini-ITX,1690
CORSAIR 4000D TEMPERED GLASS (WHITE) (E-ATX),https://www.jib.co.th/web/product/product_search/0?str_search=CORSAIR%204000D%20TEMPERED%20GLASS%20(WHITE)%20(E-ATX)&cate_id[]=,E-ATX / ATX / Micro-ATX / Mini-ITX,2690
GALAX REVOLUTION-05 (BLACK) (ATX),https://www.jib.co.th/web/product/product_search/0?str_search=GALAX%20REVOLUTION-05%20(BLACK)%20(ATX)&cate_id[]=,ATX / Micro-ATX / Mini-ITX,1350
GAMDIAS AURA GC8 ARGB (BLACK) (ATX),https://www.jib.co.th/web/product/product_search/0?str_search=GAMDIAS%20AURA%20GC8%20ARGB%20(BLACK)%20(ATX)&cate_id[]=,ATX / Micro-ATX / Mini-ITX,990
GIGABYTE C102 GLASS (BLACK) (MICRO-ATX),https://www.jib.co.th/web/product/product_search/0?str_search=GIGABYTE%20C102%20GLASS%20(BLACK)%20(MICRO-ATX)&cate_id[]=,Micro-ATX / Mini-ITX,1290
GAMDIAS ARGUS E4 ELITE WH (WHITE) (ATX),https://www.jib.co.th/web/product/product_search/0?str_search=GAMDIAS%20ARGUS%20E4%20ELITE%20WH%20(WHITE)%20(ATX)&cate_id[]=,ATX / Micro-ATX / Mini-ITX,1490
COUGAR PURITY RGB (BLACK) (MICRO-ATX),https://www.jib.co.th/web/product/product_search/0?str_search=COUGAR%20PURITY%20RGB%20(BLACK)%20(MICRO-ATX)&cate_id[]=,Micro-ATX / Mini-ITX,1390
DEEPCOOL MATREXX 50 ADD-RGB 4F,https://www.jib.co.th/web/product/product_search/0?str_search=DEEPCOOL%20MATREXX%2050%20ADD-RGB%204F&cate_id[]=,ATX / Micro-ATX / Mini-ITX,1690
COUGAR ARCHON 2 RGB PLUS (BLACK),https://www.jib.co.th/web/product/product_search/0?str_search=COUGAR%20ARCHON%202%20RGB%20PLUS%20(BLACK)&cate_id[]=,ATX / Micro-ATX / Mini-ITX,1990
MONTECH SKY TWO (BLACK),https://www.jib.co.th/web/product/product_search/0?str_search=MONTECH%20SKY%20TWO%20(BLACK)&cate_id[]=,ATX / Micro-ATX / Mini-ITX,2990
AEROCOOL VIEWPORT MINI (BLACK),https://www.jib.co.th/web/product/product_search/0?str_search=AEROCOOL%20VIEWPORT%20MINI%20(BLACK)&cate_id[]=,Micro-ATX / Mini-ITX,1490
ZALMAN S4 PLUS,https://www.jib.co.th/web/product/product_search/0?str_search=ZALMAN%20S4%20PLUS&cate_id[]=,ATX / Micro-ATX / Mini-ITX,1590
CORSAIR 3200D RS ARGB (BLACK),https://www.jib.co.th/web/product/product_search/0?cate_id%5B%5D=&str_search=3200D,ATX / Micro-ATX / Mini-ITX,2390
COUGAR ARCHON 2 RGB PLUS (WHITE),https://www.jib.co.th/web/product/product_search/0?cate_id%5B%5D=&str_search=ARCHON%202%20RGB%20PLUS,ATX / Micro-ATX / Mini-ITX,1990
COUGAR MX220 RGB (WHITE),https://www.jib.co.th/web/product/product_search/0?cate_id%5B%5D=&str_search=MX220,ATX / Micro-ATX / Mini-ITX,1990
GAMDIAS AURA GC5 ELITE ARGB,https://www.jib.co.th/web/product/product_search/0?cate_id%5B%5D=&str_search=AURA%20GC5,ATX / Micro-ATX / Mini-ITX,1490
GAMDIAS ARGUS E4 ELITE (WHITE),https://www.jib.co.th/web/product/product_search/0?cate_id%5B%5D=&str_search=ARGUS%20E4%20ELITE,ATX / Micro-ATX / Mini-ITX,1490
GAMDIAS APOLLO M2 ELITE,https://www.jib.co.th/web/product/product_search/0?cate_id%5B%5D=&str_search=APOLLO%20M2%20ELITE,ATX / Micro-ATX / Mini-ITX,2290
ANTEC AX20 ELITE (BLACK),https://www.jib.co.th/web/product/product_search/0?cate_id%5B%5D=&str_search=ANTEC%20AX20%20ELITE,ATX / Micro-ATX / Mini-ITX,1190
ANTEC CX200M RGB ELITE (BLACK),https://www.jib.co.th/web/product/product_search/0?cate_id%5B%5D=&str_search=CX200M%20RGB%20ELITE,Micro-ATX / Mini-ITX,1590
ANTEC CX200M RGB ELITE (WHITE),https://www.jib.co.th/web/product/product_search/0?cate_id%5B%5D=&str_search=CX200M%20RGB%20ELITE%20WHITE,Micro-ATX / Mini-ITX,1690
AEROCOOL CS-111 (BLACK),https://www.jib.co.th/web/product/product_search/0?cate_id%5B%5D=&str_search=AEROCOOL%20CS-111,Micro-ATX / Mini-ITX,990
MONTECH X3 MESH (BLACK),https://www.jib.co.th/web/product/product_search/0?cate_id%5B%5D=&str_search=MONTECH%20X3%20MESH,ATX / Micro-ATX / Mini-ITX,1690
MONTECH X3 MESH (WHITE),https://www.jib.co.th/web/product/product_search/0?cate_id%5B%5D=&str_search=MONTECH%20X3%20MESH%20WHITE,ATX / Micro-ATX / Mini-ITX,1790
MONTECH AIR 100,https://www.jib.co.th/web/product/product_search/0?cate_id%5B%5D=&str_search=MONTECH%20AIR%20100,Micro-ATX / Mini-ITX,1790
MONTECH AIR 1000 PREMIUM (WHITE),https://www.jib.co.th/web/product/product_search/0?cate_id%5B%5D=&str_search=MONTECH%20AIR%201000%20PREMIUM,Micro-ATX / Mini-ITX,2690
MONTECH KING 95,https://www.jib.co.th/web/product/product_search/0?cate_id%5B%5D=&str_search=MONTECH%20KING%2095,E-ATX / ATX / Micro-ATX / Mini-ITX,5090
MONTECH KING 95 PRO,https://www.jib.co.th/web/product/product_search/0?cate_id%5B%5D=&str_search=MONTECH%20KING%2095%20PRO,E-ATX / ATX / Micro-ATX / Mini-ITX,5290
HYTE Y60 (BLACK),https://www.jib.co.th/web/product/product_search/0?str_search=HYTE%20Y60%20(BLACK)&cate_id[]=,ATX / Micro-ATX / Mini-ITX,4990
HYTE Y70,https://www.jib.co.th/web/product/product_search/0?cate_id%5B%5D=&str_search=HYTE%20Y70,E-ATX / ATX / Micro-ATX / Mini-ITX,7490
HAVN HS 420 (BLACK),https://www.jib.co.th/web/product/product_search/0?cate_id%5B%5D=&str_search=HAVN%20HS%20420,E-ATX / ATX / Micro-ATX / Mini-ITX,6990
ZALMAN P30 V2 (WHITE),https://www.jib.co.th/web/product/product_search/0?cate_id%5B%5D=&str_search=ZALMAN%20P30%20V2,Micro-ATX / Mini-ITX,2790
DEEPCOOL CG330 3F (WHITE),https://www.jib.co.th/web/product/product_search/0?cate_id%5B%5D=&str_search=DEEPCOOL%20CG330,ATX / Micro-ATX / Mini-ITX,1590
DEEPCOOL CH260 WOOD (WHITE),https://www.jib.co.th/web/product/product_search/0?cate_id%5B%5D=&str_search=DEEPCOOL%20CH260%20WOOD,Micro-ATX / Mini-ITX,2490
OCYPUS IOTA C50 CURVE ARGB (BLACK),https://www.jib.co.th/web/product/product_search/0?cate_id%5B%5D=&str_search=OCYPUS%20IOTA%20C50,ATX / Micro-ATX / Mini-ITX,1990
THERMALTAKE THE TOWER 600,https://www.jib.co.th/web/product/product_search/0?cate_id%5B%5D=&str_search=THERMALTAKE%20THE%20TOWER%20600,E-ATX / ATX / Micro-ATX / Mini-ITX,4990
COUGAR GEMINI X,https://www.jib.co.th/web/product/product_search/0?cate_id%5B%5D=&str_search=COUGAR%20GEMINI%20X,E-ATX / ATX / Micro-ATX / Mini-ITX,22900
COUGAR MX110 RGB (BLACK),https://www.jib.co.th/web/product/product_search/0?cate_id%5B%5D=&str_search=COUGAR%20MX110%20RGB,ATX / Micro-ATX / Mini-ITX,1190
CORSAIR 4000D AIRFLOW,https://www.jib.co.th/web/product/product_search/0?cate_id%5B%5D=&str_search=CORSAIR%204000D%20AIRFLOW,ATX / Micro-ATX / Mini-ITX,2690
CORSAIR 5000D AIRFLOW,https://www.jib.co.th/web/product/product_search/0?cate_id%5B%5D=&str_search=CORSAIR%205000D%20AIRFLOW,E-ATX / ATX / Micro-ATX / Mini-ITX,4950
DEEPCOOL CH370,https://www.jib.co.th/web/product/product_search/0?cate_id%5B%5D=&str_search=DEEPCOOL%20CH370,Micro-ATX / Mini-ITX,1790
THERMALTAKE VIEW 380 TG ARGB,https://www.jib.co.th/web/product/product_search/0?cate_id%5B%5D=&str_search=THERMALTAKE%20VIEW%20380,ATX / Micro-ATX / Mini-ITX,4190
GIGABYTE C102 GLASS (WHITE/VARIANT),https://www.jib.co.th/web/product/product_search/0?cate_id%5B%5D=&str_search=GIGABYTE%20C102%20GLASS,ATX / Micro-ATX / Mini-ITX,1290
COUGAR PURITY RGB (VARIANT),https://www.jib.co.th/web/product/product_search/0?cate_id%5B%5D=&str_search=COUGAR%20PURITY%20RGB,ATX / Micro-ATX / Mini-ITX,1390
