ลำดับ,ยี่ห้อ,รุ่น,ประเภท,Socket,ราคา (บาท),ลิงก์ JIB
1,NOCTUA,NH-L9I-17XX CHROMAX.BLACK,Air,LGA1700,2620,https://www.jib.co.th/web/product/readProduct/52705
2,DEEPCOOL,AK400,Air,"LGA1700/1200/1151/1150/1155, AM4",990,https://www.jib.co.th/web/product/readProduct/53450
3,DEEPCOOL,AK620 WH,Air,"LGA2066/2011-v3/2011/1700/1200/1151/1150/1155, AM4",2290,https://www.jib.co.th/web/product/readProduct/82494
4,COUGAR,FORZA 85,Air,"LGA115X/1366/1200/1700/2011/2066, AM4/FM2/FM1/AM3+/AM3/AM2+/AM2",2290,https://www.jib.co.th/web/product/readProduct/53729
5,COUGAR,FORZA 50,Air,"LGA115X/1366/1200/1700/2011/2066, AM4/FM2/FM1/AM3+/AM3/AM2+/AM2",1490,https://www.jib.co.th/web/product/readProduct/57475
6,ZALMAN,CNPS9X PERFORMA BLACK,Air,"LGA1700/1200/115X, AM5/AM4",890,https://www.jib.co.th/web/product/readProduct/57360
7,NZXT,T120 BLACK,Air,"LGA1700/115X/1200, AM5/AM4",1690,https://www.jib.co.th/web/product/readProduct/57384
8,NZXT,T120 RGB BLACK,Air,"LGA1700/115X/1200, AM5/AM4",1990,https://www.jib.co.th/web/product/readProduct/57386
9,NZXT,T120 RGB WHITE,Air,"LGA1700/115X/1200, AM5/AM4",1990,https://www.jib.co.th/web/product/readProduct/57387
10,COUGAR,FORZA 50 ESSENTIAL,Air,"LGA115X/1366/1200/1700/2011/2066, AM5/AM4/FM2/FM1/AM3+/AM3/AM2+/AM2",990,https://www.jib.co.th/web/product/readProduct/57475
11,ID-COOLING,FROZN A410 BLACK,Air,"LGA1700/1200/1151/1150/1155/1156, AM5/AM4",990,https://www.jib.co.th/web/product/readProduct/63462
12,APNX,AP1-V ARGB BLACK,Air,"LGA1700/1200/115X, AM4/AM5",1790,https://www.jib.co.th/web/product/readProduct/63623
13,COOLER MASTER,MASTERAIR MA824 STEALTH,Air,"LGA1700/1200/1151/1150/1156/1155, AM5/AM4",4590,https://www.jib.co.th/web/product/readProduct/73918
14,BE QUIET,DARK ROCK ELITE,Air,"LGA1700/1200/1150/1151/1155, AM5/AM4",4290,https://www.jib.co.th/web/product/readProduct/64676
15,COUGAR,FORZA 50 ARGB,Air,"LGA115X/1366/1200/1700/2011/2066, AM5/AM4/FM2/FM1/AM3+/AM3/AM2+/AM2",1490,https://www.jib.co.th/web/product/readProduct/65163
16,COUGAR,FORZA 85 ARGB,Air,"LGA115X/1366/1200/1700/2011/2066, AM5/AM4/FM2/FM1/AM3+/AM3/AM2+/AM2",2290,https://www.jib.co.th/web/product/readProduct/65164
17,DEEPCOOL,AG400 PLUS,Air,"LGA1700/1200/1151/1150/1155, AM5/AM4",1690,https://www.jib.co.th/web/product/readProduct/54887
18,ID-COOLING,FROZN A410 DK BLACK,Air,"LGA1851/1700/1200/1151/1150/1155/1156, AM5/AM4",1290,https://www.jib.co.th/web/product/readProduct/67701
19,NOCTUA,NH-L9I-17XX,Air,LGA1700,2150,https://www.jib.co.th/web/product/readProduct/52704
20,BE QUIET,PURE ROCK PRO 3 BLACK,Air,"LGA 1851, 1700, 1200, 1151, 1150, 1155 และ AMD AM5, AM4",1690,https://www.jib.co.th/web/product/readProduct/76328
21,DEEPCOOL,ASSASSIN IV VC VISION BLACK,Air,"LGA1700/1200/1151/1150/1155/2011/2011-3/2066, AM5/AM4",4990,https://www.jib.co.th/web/product/readProduct/71711
22,NOCTUA,NH-U12S REDUX,Air,"LGA1851/1700/1200/115X/1151/1150/1155/1156, AM5/AM4",2190,https://www.jib.co.th/web/product/readProduct/50888
23,AEROCOOL,RAVE 4 ARGB,Air,"LGA1200/115X/775/1700, AM4/AM3+/AM3/AM2+/AM2/FM2/FM1",1090,https://www.jib.co.th/web/product/readProduct/54986
24,COUGAR,FORZA 135,Air,"LGA115X/1366/1200/1700/2011/2066, AM5/AM4/FM2/FM1/AM3+/AM3/AM2+/AM2",2990,https://www.jib.co.th/web/product/readProduct/61405
25,THERMALRIGHT,PHANTOM SPIRIT 120 EVO (BLACK),Air,"LGA1700/1200/115X/2011/2066, AM5/AM4",2390,https://www.jib.co.th/web/product/readProduct/67068
26,NOCTUA,NH-L9X65,Air,"Intel LGA2066, LGA2011-0 & LGA2011-3 (Square ILM), LGA1156, LGA1155, LGA1151, LGA1150 & AMD AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+ (backplate required), AM4 with NM-AM4",2890,https://www.jib.co.th/web/product/readProduct/29616
27,NOCTUA,NH-U12A CHROMAX.BLACK,Air,"LGA1851/1700/1200/1151/1150/1155/1156, AM5/AM4",5650,https://www.jib.co.th/web/product/readProduct/50490
28,ARCTIC,FREEZER 36 A-RGB (WHITE),Air,"LGA1851/1700, AM5/AM4",1490,https://www.jib.co.th/web/product/readProduct/66206
29,DEEPCOOL,ASSASSIN IV WH (WHITE),Air,"LGA1700/1200/1151/1150/1155/2011/2011-3/2066, AM5/AM4",4390,https://www.jib.co.th/web/product/readProduct/73735
30,THERMALTAKE,ASTRIA 200 ARGB LIGHTING - BLACK,Air,"LGA1851/1700/1200/1151/1150/1155/1156/2011/2066, AM5/AM4",1290,https://www.jib.co.th/web/product/readProduct/75351
31,ID-COOLING,FROZN A410 SE ARGB - BLACK,Air,"LGA1851/1700/1200/115X, AM5/AM4",890,https://www.jib.co.th/web/product/readProduct/74593
32,DEEPCOOL,AG400 G2 ARGB - BLACK,Air,"LGA1851/1700, AM5/AM4",790,https://www.jib.co.th/web/product/readProduct/85041
33,GAMDIAS,BOREAS P2-62D - BLACK,Air,"LGA1851/1700/1200/1151/1150/1155/1156, AM5",2490,https://www.jib.co.th/web/product/readProduct/76245
34,GAMDIAS,BOREAS E2-410 - BLACK,Air,"LGA1851/1700/1200/1151/1150/1155/1156, AM5/AM4",990,https://www.jib.co.th/web/product/readProduct/76266
35,NOCTUA,NH-U12S - BROWN,Air,"LGA1851/1700/1200/115X/1151/1150/1155/1156, AM5/AM4",3340,https://www.jib.co.th/web/product/readProduct/83091
36,NOCTUA,NH-D15S - BROWN,Air,"LGA1851/1700/1200/1151/1150/1155/1156, AM5/AM4",4250,https://www.jib.co.th/web/product/readProduct/83141
