อันดับ,แบรนด์,รุ่น / รายละเอียด,ราคา (บาท),Socket,ลิงก์สินค้า JIB
1,AMD,AMD RYZEN 7 9800X3D - 8C 16T 4.7-5.2GHz (AMD SOCKET AM5),"17,990",AM5,https://www.jib.co.th/web/product/readProduct/71891
2,Intel,INTEL CORE I5-12400F 2.5 GHz (SOCKET LGA 1700),"4,990",LGA 1700,https://www.jib.co.th/web/product/readProduct/50623
3,AMD,AMD RYZEN 7 7800X3D 4.2 GHz (SOCKET AM5),"14,990",AM5,https://www.jib.co.th/web/product/readProduct/58961
4,AMD,AMD RYZEN 5 5600 3.5 GHz (SOCKET AM4),"4,590",AM4,https://www.jib.co.th/web/product/readProduct/52538
5,Intel,INTEL CORE I3-12100F 3.3 GHz (SOCKET LGA 1700),"3,290",LGA 1700,https://www.jib.co.th/web/product/readProduct/50622
6,AMD,AMD RYZEN 5 5600G 3.9 GHz (SOCKET AM4),"4,590",AM4,https://www.jib.co.th/web/product/readProduct/47944
7,Intel,INTEL CORE I5-14400F - 10C 16T 1.8-4.7GHz (INTEL SOCKET 1700),"5,790",LGA 1700,https://www.jib.co.th/web/product/readProduct/64702
8,Intel,INTEL CORE I5-12400 2.5 GHz (SOCKET LGA 1700),"6,550",LGA 1700,https://www.jib.co.th/web/product/readProduct/50624
9,AMD,AMD RYZEN 3 3200G 3.6 GHz (SOCKET AM4),"1,950",AM4,https://www.jib.co.th/web/product/readProduct/34578
10,AMD,AMD RYZEN 5 3400G 3.7 GHz (SOCKET AM4),"2,390",AM4,https://www.jib.co.th/web/product/readProduct/34586
11,AMD,AMD RYZEN 5 7600X 4.7 GHz (SOCKET AM5),"8,190",AM5,https://www.jib.co.th/web/product/readProduct/55401
12,AMD,AMD RYZEN 5 5500 3.6 GHz (SOCKET AM4),"3,290",AM4,https://www.jib.co.th/web/product/readProduct/52535
13,Intel,INTEL CORE I5-14500 - 14C 20T 1.9-5.0GHz (INTEL SOCKET 1700),"9,190",LGA 1700,https://www.jib.co.th/web/product/readProduct/64701
14,Intel,INTEL CORE I9-14900K - 24C 32T 2.4-6.0GHz (INTEL SOCKET 1700),"17,400",LGA 1700,https://www.jib.co.th/web/product/readProduct/63040
15,AMD,AMD RYZEN 5 7500F - 6C 12T 3.7-5.0GHz (AMD SOCKET AM5),"4,990",AM5,https://www.jib.co.th/web/product/readProduct/69543
16,AMD,AMD RYZEN 5 4500 3.6 GHz (SOCKET AM4),"2,590",AM4,https://www.jib.co.th/web/product/readProduct/52893
17,AMD,AMD RYZEN 5 7600 3.8 GHz (SOCKET AM5),"7,190",AM5,https://www.jib.co.th/web/product/readProduct/57299
18,AMD,AMD RYZEN 9 9950X3D - 16C 32T 4.3-5.7GHz AMD SOCKET AM5,"26,990",AM5,https://www.jib.co.th/web/product/readProduct/75053
19,Intel,INTEL CORE I7-14700F - 20C 28T 1.5-5.4GHz (INTEL SOCKET 1700),"10,800",LGA 1700,https://www.jib.co.th/web/product/readProduct/64698
20,AMD,AMD RYZEN 7 9700X - 8C 16T 3.8-5.5GHz (AMD SOCKET AM5),"12,390",AM5,https://www.jib.co.th/web/product/readProduct/69752
21,Intel,INTEL CORE I3-12100 3.3 GHz (SOCKET LGA 1700),"4,490",LGA 1700,https://www.jib.co.th/web/product/readProduct/51545
22,Intel,INTEL CORE I5-14400 - 10C 16T 1.8-4.7GHz (INTEL SOCKET 1700),"6,590",LGA 1700,https://www.jib.co.th/web/product/readProduct/64703
23,Intel,INTEL CORE ULTRA 7 265K - 20C 20T 3.3-5.5GHz (INTEL SOCKET 1851),"11,900",LGA 1851,https://www.jib.co.th/web/product/readProduct/71188
24,Intel,INTEL CORE ULTRA 9 285K - 24C 24T 3.2-5.7GHz (INTEL SOCKET 1851),"20,500",LGA 1851,https://www.jib.co.th/web/product/readProduct/71190
25,Intel,INTEL CORE I7-14700 - 20C 28T 1.5-5.4GHz (INTEL SOCKET 1700),"12,200",LGA 1700,https://www.jib.co.th/web/product/readProduct/64700
26,AMD,AMD RYZEN 5 9600X - 6C 12T 3.9-5.4GHz (AMD SOCKET AM5),"8,690",AM5,https://www.jib.co.th/web/product/readProduct/69751
27,AMD,AMD RYZEN 9 9950X - 16C 32T 4.3-5.7GHz (AMD SOCKET AM5),"21,490",AM5,https://www.jib.co.th/web/product/readProduct/69826
28,AMD,AMD RYZEN 5 8500G (SOCKET AM5),"5,590",AM5,https://www.jib.co.th/web/product/readProduct/65211
29,Intel,INTEL CORE I7-12700KF 3.6 GHz (SOCKET LGA 1700),"7,390",LGA 1700,https://www.jib.co.th/web/product/readProduct/49473
30,Intel,INTEL CORE I7-14700KF - 20C 28T 2.5-5.6GHz (INTEL SOCKET 1700),"12,800",LGA 1700,https://www.jib.co.th/web/product/readProduct/63039
31,AMD,AMD RYZEN 7 8700G (SOCKET AM5),"10,290",AM5,https://www.jib.co.th/web/product/readProduct/65208
32,Intel,INTEL CORE ULTRA 7 265KF - 20C 20T 3.3-5.5GHz (INTEL SOCKET 1851),"10,990",LGA 1851,https://www.jib.co.th/web/product/readProduct/71189
33,AMD,AMD RYZEN 5 5500GT (SOCKET AM4),"4,290",AM4,https://www.jib.co.th/web/product/readProduct/65201
34,AMD,AMD RYZEN 5 8600G (SOCKET AM5),"6,990",AM5,https://www.jib.co.th/web/product/readProduct/65209
35,Intel,INTEL PENTIUM GOLD G6405 4.1 GHz (SOCKET LGA 1200),"2,390",LGA 1200,https://www.jib.co.th/web/product/readProduct/47414
36,Intel,INTEL CORE I5-14600KF - 14C 20T 2.6-5.3GHz (INTEL SOCKET 1700),"7,690",LGA 1700,https://www.jib.co.th/web/product/readProduct/63037
37,Intel,INTEL CORE ULTRA 5 245K - 14C 14T 3.6-5.2GHz (INTEL SOCKET 1851),"6,990",LGA 1851,https://www.jib.co.th/web/product/readProduct/71182
38,Intel,INTEL CORE ULTRA 5 245KF - 14C 14T 3.6-5.2GHz (INTEL SOCKET 1851),"6,790",LGA 1851,https://www.jib.co.th/web/product/readProduct/71186
39,Intel,INTEL CORE ULTRA 7 270K PLUS - 24C 24T 3.2-5.5GHz 36MB INTEL SOCKET 1851,"12,500",LGA 1851,https://www.jib.co.th/web/product/readProduct/84217
40,AMD,AMD RYZEN 5 5600GT (SOCKET AM4),"4,590",AM4,https://www.jib.co.th/web/product/readProduct/65197
41,Intel,INTEL CORE ULTRA 5 225F - 10C 10T 3.3-4.9GHz (INTEL SOCKET 1851),"4,240",LGA 1851,https://www.jib.co.th/web/product/readProduct/73576
