อันดับ,แบรนด์,รุ่น / รายละเอียด,ราคา (บาท),Socket,ลิงก์สินค้า JIB,TDP (W),Max Power (W),RAM Native Max Speed (MHz),RAM Speed Note
1,AMD,AMD RYZEN 7 9800X3D - 8C 16T 4.7-5.2GHz (AMD SOCKET AM5),"17,990",AM5,https://www.jib.co.th/web/product/readProduct/71891,120,162,5600,"ความเร็ว Native/JEDEC โดยประมาณตามแพลตฟอร์ม CPU; ความเร็วสูงกว่านี้อาจทำได้ผ่าน XMP/EXPO/OC และยังขึ้นกับ IMC, เมนบอร์ด, DIMM และ BIOS"
2,Intel,INTEL CORE I5-12400F 2.5 GHz (SOCKET LGA 1700),"4,990",LGA 1700,https://www.jib.co.th/web/product/readProduct/50623,65,117,4800,"ความเร็ว Native/JEDEC โดยประมาณตามแพลตฟอร์ม CPU; ความเร็วสูงกว่านี้อาจทำได้ผ่าน XMP/EXPO/OC และยังขึ้นกับ IMC, เมนบอร์ด, DIMM และ BIOS"
3,AMD,AMD RYZEN 7 7800X3D 4.2 GHz (SOCKET AM5),"14,990",AM5,https://www.jib.co.th/web/product/readProduct/58961,120,162,5600,"ความเร็ว Native/JEDEC โดยประมาณตามแพลตฟอร์ม CPU; ความเร็วสูงกว่านี้อาจทำได้ผ่าน XMP/EXPO/OC และยังขึ้นกับ IMC, เมนบอร์ด, DIMM และ BIOS"
4,AMD,AMD RYZEN 5 5600 3.5 GHz (SOCKET AM4),"4,590",AM4,https://www.jib.co.th/web/product/readProduct/52538,65,76,3200,"ความเร็ว Native/JEDEC โดยประมาณตามแพลตฟอร์ม CPU; ความเร็วสูงกว่านี้อาจทำได้ผ่าน XMP/EXPO/OC และยังขึ้นกับ IMC, เมนบอร์ด, DIMM และ BIOS"
5,Intel,INTEL CORE I3-12100F 3.3 GHz (SOCKET LGA 1700),"3,290",LGA 1700,https://www.jib.co.th/web/product/readProduct/50622,58,89,4800,"ความเร็ว Native/JEDEC โดยประมาณตามแพลตฟอร์ม CPU; ความเร็วสูงกว่านี้อาจทำได้ผ่าน XMP/EXPO/OC และยังขึ้นกับ IMC, เมนบอร์ด, DIMM และ BIOS"
6,AMD,AMD RYZEN 5 5600G 3.9 GHz (SOCKET AM4),"4,590",AM4,https://www.jib.co.th/web/product/readProduct/47944,65,76,3200,"ความเร็ว Native/JEDEC โดยประมาณตามแพลตฟอร์ม CPU; ความเร็วสูงกว่านี้อาจทำได้ผ่าน XMP/EXPO/OC และยังขึ้นกับ IMC, เมนบอร์ด, DIMM และ BIOS"
7,Intel,INTEL CORE I5-14400F - 10C 16T 1.8-4.7GHz (INTEL SOCKET 1700),"5,790",LGA 1700,https://www.jib.co.th/web/product/readProduct/64702,65,148,4800,"ความเร็ว Native/JEDEC โดยประมาณตามแพลตฟอร์ม CPU; ความเร็วสูงกว่านี้อาจทำได้ผ่าน XMP/EXPO/OC และยังขึ้นกับ IMC, เมนบอร์ด, DIMM และ BIOS"
8,Intel,INTEL CORE I5-12400 2.5 GHz (SOCKET LGA 1700),"6,550",LGA 1700,https://www.jib.co.th/web/product/readProduct/50624,65,117,4800,"ความเร็ว Native/JEDEC โดยประมาณตามแพลตฟอร์ม CPU; ความเร็วสูงกว่านี้อาจทำได้ผ่าน XMP/EXPO/OC และยังขึ้นกับ IMC, เมนบอร์ด, DIMM และ BIOS"
9,AMD,AMD RYZEN 3 3200G 3.6 GHz (SOCKET AM4),"1,950",AM4,https://www.jib.co.th/web/product/readProduct/34578,65,88,3200,"ความเร็ว Native/JEDEC โดยประมาณตามแพลตฟอร์ม CPU; ความเร็วสูงกว่านี้อาจทำได้ผ่าน XMP/EXPO/OC และยังขึ้นกับ IMC, เมนบอร์ด, DIMM และ BIOS"
10,AMD,AMD RYZEN 5 3400G 3.7 GHz (SOCKET AM4),"2,390",AM4,https://www.jib.co.th/web/product/readProduct/34586,65,78,3200,"ความเร็ว Native/JEDEC โดยประมาณตามแพลตฟอร์ม CPU; ความเร็วสูงกว่านี้อาจทำได้ผ่าน XMP/EXPO/OC และยังขึ้นกับ IMC, เมนบอร์ด, DIMM และ BIOS"
