อันดับ,รุ่นสินค้า,ประเภท,ความจุ,ราคา (บาท),Sold (สะสม),Source URL
1,WD Blue WD10EZEX,HDD,1TB,"3,490 ฿","19,938",https://www.jib.co.th/web/product/readProduct/12280
2,Seagate BarraCuda ST2000DM008,HDD,2TB,"4,590 ฿","3,044",https://www.jib.co.th/web/product/readProduct/31940
3,WD Blue WD20EZBX,HDD,2TB,"4,990 ฿","1,825",https://www.jib.co.th/web/product/readProduct/0000046825
4,Samsung 870 EVO MZ-77E500BW,SATA SSD,500GB,"6,790 ฿","1,129",https://www.jib.co.th/web/product/readProduct/45272
5,WD Purple WD10PURZ,HDD,1TB,"3,550 ฿","1,061",https://www.jib.co.th/web/product/readProduct/25971
6,WD Black SN850X WDS100T2X0E,M.2 NVMe,1TB,"6,190 ฿",610,https://www.jib.co.th/web/product/readProduct/0000055937
7,Samsung 990 PRO MZ-V9P1T0BW,M.2 NVMe,1TB,"8,290 ฿",517,https://www.jib.co.th/web/product/readProduct/0000061609
8,WD Black SN7100 WDS100T4X0E,M.2 NVMe,1TB,"6,190 ฿",456,https://www.jib.co.th/web/product/readProduct/74479
9,Samsung 990 PRO MZ-V9P2T0BW,M.2 NVMe,2TB,"19,900 ฿",445,https://www.jib.co.th/web/product/readProduct/61614
10,HIKSEMI FUTURE 1024G,M.2 NVMe,1TB,"5,890 ฿",408,https://www.jib.co.th/web/product/readProduct/58596
11,Kingston NV3 SNV3S/1000G,M.2 NVMe,1TB,"5,190 ฿",387,https://www.jib.co.th/web/product/readProduct/70439
12,HIKSEMI FUTURE 2048G,M.2 NVMe,2TB,"7,990 ฿",382,https://www.jib.co.th/web/product/readProduct/58597
13,WD Black SN850X WDS200T2X0E,M.2 NVMe,2TB,"8,990 ฿",345,https://www.jib.co.th/web/product/readProduct/0000060771
14,WD Blue SN5000 1TB,M.2 NVMe,1TB,"3,990 ฿",341,https://www.jib.co.th/web/product/readProduct/72814
15,Seagate IronWolf ST4000VN006,HDD / NAS,4TB,"8,490 ฿",310,https://www.jib.co.th/web/product/readProduct/0000055167
16,WD Blue SA510,SATA SSD,250GB,"2,190 ฿",302,https://www.jib.co.th/web/product/readProduct/54120
17,WD Purple WD23PURZ,HDD,2TB,"4,590 ฿",256,https://www.jib.co.th/web/product/readProduct/0000060270
18,WD Black SN7100 WDS200T4X0E,M.2 NVMe,2TB,"8,990 ฿",219,https://www.jib.co.th/web/product/readProduct/74480
