ลำดับ,ยี่ห้อ (Brand),รุ่นเมนบอร์ด (Model),ซ็อกเก็ต (Socket),ประเภทแรม (RAM),ขนาด (Form Factor),Wi-Fi,ราคาโดยประมาณ (บาท),จุดเด่น / ความคุ้มค่า,URL ลิงก์สินค้า (JIB),RAM Max Speed (MHz),RAM Max Capacity (GB),RAM Profile Support,RAM Dual-Type Support,RAM Speed Note
1,ASROCK,B760M PRO RS,LGA 1700,DDR5,Micro-ATX,ไม่มี,"3,590",ขายดีอันดับต้นๆ คุ้มค่าที่สุดสำหรับ Intel Gen 12-14,https://www.jib.co.th/web/product/readProduct/60056,7200,256,XMP,ไม่พบการรองรับ DDR4+DDR5 ในรุ่นเดียวกัน,"ค่า Max/OC เป็นเพดานตามสเปก/ตระกูลรุ่น; ความเร็วใช้งานจริงขึ้นกับ CPU, จำนวน DIMM, ชนิด/Rank ของ RAM, BIOS และ Memory QVL"
2,MSI,B650M GAMING WIFI,AM5,DDR5,Micro-ATX,มี (Wi-Fi 6E),"3,290",คุ้มค่ามากสำหรับสาย AMD AM5 มี Wi-Fi ในตัว ราคาประหยัด,https://www.jib.co.th/web/product/readProduct/66800,7600,256,XMP/EXPO,ไม่พบการรองรับ DDR4+DDR5 ในรุ่นเดียวกัน,"ค่า Max/OC เป็นเพดานตามสเปก/ตระกูลรุ่น; ความเร็วใช้งานจริงขึ้นกับ CPU, จำนวน DIMM, ชนิด/Rank ของ RAM, BIOS และ Memory QVL"
3,ASROCK,B760M STEEL LEGEND WIFI,LGA 1700,DDR5,Micro-ATX,มี (Wi-Fi 6E),"4,290",สเปกจัดเต็ม VRM แข็งแกร่ง ไฟ RGB และ M.2 Gen5,https://www.jib.co.th/web/product/readProduct/57307,7200,256,XMP,ไม่พบการรองรับ DDR4+DDR5 ในรุ่นเดียวกัน,"ค่า Max/OC เป็นเพดานตามสเปก/ตระกูลรุ่น; ความเร็วใช้งานจริงขึ้นกับ CPU, จำนวน DIMM, ชนิด/Rank ของ RAM, BIOS และ Memory QVL"
4,ASUS,PRIME B550M-A WIFI II,AM4,DDR4,Micro-ATX,มี (Wi-Fi 6),"3,490",ยอดนิยมสำหรับสายประหยัด AMD Ryzen 4000/5000,https://www.jib.co.th/web/product/readProduct/86117,4866,128,XMP,ไม่พบการรองรับ DDR4+DDR5 ในรุ่นเดียวกัน,"ค่า Max/OC เป็นเพดานตามสเปก/ตระกูลรุ่น; ความเร็วใช้งานจริงขึ้นกับ CPU, จำนวน DIMM, ชนิด/Rank ของ RAM, BIOS และ Memory QVL"
5,MSI,PRO B760M-P DDR4,LGA 1700,DDR4,Micro-ATX,ไม่มี,"2,640",ราคาประหยัด ได้ชิป B760 ใส่แรม DDR4 เดิมได้เลย,https://www.jib.co.th/web/product/readProduct/60462,4800,128,XMP,ไม่พบการรองรับ DDR4+DDR5 ในรุ่นเดียวกัน,"ค่า Max/OC เป็นเพดานตามสเปก/ตระกูลรุ่น; ความเร็วใช้งานจริงขึ้นกับ CPU, จำนวน DIMM, ชนิด/Rank ของ RAM, BIOS และ Memory QVL"
6,GIGABYTE,B850M DS3H,AM5,DDR5,Micro-ATX,ไม่มี,"4,890",ชิปเซ็ตรุ่นใหม่ B850 รองรับ Ryzen 9000 ลื่นไหล,https://www.jib.co.th/web/product/readProduct/73696,8200,256,XMP/EXPO,ไม่พบการรองรับ DDR4+DDR5 ในรุ่นเดียวกัน,"ค่า Max/OC เป็นเพดานตามสเปก/ตระกูลรุ่น; ความเร็วใช้งานจริงขึ้นกับ CPU, จำนวน DIMM, ชนิด/Rank ของ RAM, BIOS และ Memory QVL"
7,ASROCK,B450M STEEL LEGEND,AM4,DDR4,Micro-ATX,ไม่มี,"2,750",ตำนานเมนบอร์ดคุ้มค่า สำหรับประกอบคอมงบประหยัด,https://www.jib.co.th/web/product/readProduct/33132,3533,128,XMP,ไม่พบการรองรับ DDR4+DDR5 ในรุ่นเดียวกัน,"ค่า Max/OC เป็นเพดานตามสเปก/ตระกูลรุ่น; ความเร็วใช้งานจริงขึ้นกับ CPU, จำนวน DIMM, ชนิด/Rank ของ RAM, BIOS และ Memory QVL"
8,GIGABYTE,B850 EAGLE WIFI6E,AM5,DDR5,ATX,มี (Wi-Fi 6E),"5,990",ขนาด ATX บอร์ดใหญ่ ฟีเจอร์ครบ รองรับ X3D Turbo Mode,https://www.jib.co.th/web/product/readProduct/73765,8000,256,XMP/EXPO,ไม่พบการรองรับ DDR4+DDR5 ในรุ่นเดียวกัน,"ค่า Max/OC เป็นเพดานตามสเปก/ตระกูลรุ่น; ความเร็วใช้งานจริงขึ้นกับ CPU, จำนวน DIMM, ชนิด/Rank ของ RAM, BIOS และ Memory QVL"
9,MSI,PRO H610M-S DDR4,LGA 1700,DDR4,Micro-ATX,ไม่มี,"1,660",เริ่มต้นงบน้อยที่สุดสำหรับ Intel Gen 12/13/14,https://www.jib.co.th/web/product/readProduct/68183/2363/MAINBOARD--%E0%B9%80%E0%B8%A1%E0%B8%99%E0%B8%9A%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B8%94--MSI-PRO-H610M-S-DDR4---INTEL-SOCKET-1700-DDR4-MICRO-ATX,3200,64,XMP,ไม่พบการรองรับ DDR4+DDR5 ในรุ่นเดียวกัน,"ค่า Max/OC เป็นเพดานตามสเปก/ตระกูลรุ่น; ความเร็วใช้งานจริงขึ้นกับ CPU, จำนวน DIMM, ชนิด/Rank ของ RAM, BIOS และ Memory QVL"
10,ASUS,ROG STRIX X870-A GAMING WIFI,AM5,DDR5,ATX,มี (Wi-Fi 7),"16,600",ตัวท็อปสายขาว ฟีเจอร์ระดับพรีเมียม Overclock ดีเยี่ยม,https://www.jib.co.th/web/product/readProduct/70949,8000,256,XMP/EXPO,ไม่พบการรองรับ DDR4+DDR5 ในรุ่นเดียวกัน,"ค่า Max/OC เป็นเพดานตามสเปก/ตระกูลรุ่น; ความเร็วใช้งานจริงขึ้นกับ CPU, จำนวน DIMM, ชนิด/Rank ของ RAM, BIOS และ Memory QVL"
11,MSI,B760 GAMING PLUS WIFI,LGA 1700,DDR5,ATX,มี (Wi-Fi 6E),"3,950",บอร์ด ATX DDR5 ราคาย่อมเยา ระบายความร้อนดีเยี่ยม,https://www.jib.co.th/web/product/readProduct/60349,6800,192,XMP,ไม่พบการรองรับ DDR4+DDR5 ในรุ่นเดียวกัน,"ค่า Max/OC เป็นเพดานตามสเปก/ตระกูลรุ่น; ความเร็วใช้งานจริงขึ้นกับ CPU, จำนวน DIMM, ชนิด/Rank ของ RAM, BIOS และ Memory QVL"
12,MSI,PRO B760M-P DDR5,LGA 1700,DDR5,Micro-ATX,ไม่มี,"2,350",เริ่มต้นใช้งาน DDR5 บน Intel ราคาจับต้องง่ายสุด,https://www.jib.co.th/web/product/readProduct/60076,6800,256,XMP,ไม่พบการรองรับ DDR4+DDR5 ในรุ่นเดียวกัน,"ค่า Max/OC เป็นเพดานตามสเปก/ตระกูลรุ่น; ความเร็วใช้งานจริงขึ้นกับ CPU, จำนวน DIMM, ชนิด/Rank ของ RAM, BIOS และ Memory QVL"
13,ASROCK,B850M PRO RS,AM5,DDR5,Micro-ATX,ไม่มี,"4,590",เมนบอร์ด AM5 Gen ใหม่ ราคาดีมาก สเปกพื้นฐานแน่น,https://www.jib.co.th/web/product/readProduct/82690,8000,256,XMP/EXPO,ไม่พบการรองรับ DDR4+DDR5 ในรุ่นเดียวกัน,"ค่า Max/OC เป็นเพดานตามสเปก/ตระกูลรุ่น; ความเร็วใช้งานจริงขึ้นกับ CPU, จำนวน DIMM, ชนิด/Rank ของ RAM, BIOS และ Memory QVL"
