Brand,Model,Size_Inch,Panel,Resolution,Refresh_Rate_Hz,Response_Time_ms,Price_THB,Adaptive_Sync,HDR,Ports,VESA,Product_URL,Source,URL_Status,Last_Updated
ViewSonic,XG2409A,23.8,IPS,1920x1080,240,1,4300,"AMD FreeSync, G-Sync Compatible",No,"HDMI, DP",Yes,https://www.jib.co.th/web/product/readProduct/80796/58/Monitor--จอมอนิเตอร์--Viewsonic-XG2409A---23-8-Inch-IPS-FHD-240Hz-AMD-FreeSync-G-Sync-Compatible,JIB,Verified direct JIB product page,18/9/2026
ViewSonic,VA220A-H,21.5,VA,1920x1080,120,1,1850,No,No,"HDMI, VGA",Yes,https://www.jib.co.th/web/product/readProduct/80472/58/Monitor--จอมอนิเตอร์--Viewsonic-VA220A-H---21-5-Inch-VA-FHD-120Hz,JIB,Verified direct JIB product page,18/9/2026
LG,27U411A-B,27,IPS,1920x1080,120,1,2900,No,No,"HDMI, D-Sub",Yes,https://www.jib.co.th/web/product/readProduct/79646/58/Monitor--จอมอนิเตอร์--LG-27U411A-B---27-Inch-IPS-FHD-120Hz,JIB,Verified direct JIB product page,18/9/2026
Samsung,Odyssey OLED G5 G50SF LS27FG502SEXXT,27,OLED,2560x1440,180,0.03,9950,"AMD FreeSync, G-Sync Compatible",Yes,"HDMI, DP",Yes,https://www.jib.co.th/web/product/readProduct/80815/58/Monitor--จอมอนิเตอร์--Samsung-Odyssey-OLED-G5-G50SF-LS27FG502SEXXT---27-Inch-OLED-2K-180Hz-AMD-FreeSync-G-Sync-Compatible,JIB,Verified direct JIB product page,18/9/2026
Dahua,LM27-E231BN,27,IPS,1920x1080,200,0.5,3250,Adaptive Sync,No,"HDMI, DP",Yes,https://www.jib.co.th/web/product/readProduct/79005/58/Monitor--จอมอนิเตอร์--Dahua-LM27-E231BN---27-Inch-IPS-FHD-200Hz-Adaptive-Sync,JIB,Verified direct JIB product page,18/9/2026
ASUS,TUF Gaming VG27AQ5A,27,IPS,2560x1440,210,0.3,6900,FreeSync Premium,No,"HDMI, DP",Yes,https://www.jib.co.th/web/product/readProduct/77999/58/Monitor--จอมอนิเตอร์--Asus-TUF-Gaming-VG27AQ5A---27-Inch-IPS-2K-210Hz-AMD-FreeSync-Premium,JIB,Verified direct JIB product page,18/9/2026
AOC,U27G4/67,27,IPS,3840x2160,160,0.3,7400,Adaptive Sync,No,"HDMI, DP",Yes,https://www.jib.co.th/web/product/readProduct/77710/58/Monitor--จอมอนิเตอร์--AOC-U27G4-67---27-Inch-IPS-4K-160Hz-FHD-320Hz-Dual-Mode-Adaptive-Sync,JIB,Verified direct JIB product page,18/9/2026
Xiaomi,G27I 2026,27,IPS,1920x1080,200,1,4950,FreeSync Premium,HDR400,"HDMI, DP",Yes,https://www.jib.co.th/web/product/readProduct/81142/58/Monitor--จอมอนิเตอร์--Xiaomi-G27I-2026---27-Inch-IPS-FHD-200Hz-AMD-FreeSync-Premium,JIB,Verified direct JIB product page,18/9/2026
AOC,27B36X/67,27,IPS,1920x1080,144,0.5,3100,Adaptive Sync,HDR,"HDMI, DP",Yes,https://www.jib.co.th/web/product/readProduct/79824/58/Monitor--จอมอนิเตอร์--AOC-27B36X-67---27-Inch-IPS-FHD-144Hz-Adaptive-Sync,JIB,Verified direct JIB product page,18/9/2026
Acer,Nitro VG240YP6BMIPX,23.8,IPS,1920x1080,144,1,2550,AMD FreeSync,No,"HDMI, DP",Yes,https://www.jib.co.th/web/product/readProduct/79611/58/Monitor--จอมอนิเตอร์--Acer-Nitro-VG240YP6BMIPX---23-8-Inch-IPS-FHD-144Hz-AMD-FreeSync,JIB,Verified direct JIB product page,18/9/2026
LG,Ultragear 27G850A-B.ATM,27,IPS,3840x2160,240,1,24500,"FreeSync Premium Pro, G-Sync Compatible",Yes,"HDMI, DP",Yes,https://www.jib.co.th/web/product/readProduct/79121/58/Monitor--จอมอนิเตอร์--LG-Ultragear-27G850A-B-ATM---27-Inch-IPS-4K-240Hz-FHD-480Hz-Dual-Mode-AMD-FreeSync-Premium-Pro-Nvidia-G-Sync-Compatible,JIB,Verified direct JIB product page,18/9/2026
LG,Ultragear 27G440A-B,27,IPS,1920x1080,240,1,4500,"FreeSync Premium, G-Sync Compatible",No,"HDMI, DP",Yes,https://www.jib.co.th/web/product/readProduct/81531/58/Monitor--จอมอนิเตอร์--LG-Ultragear-27G440A-B---27-Inch-IPS-FHD-240Hz-AMD-FreeSync-Premium-G-Sync-Compatible,JIB,Verified direct JIB product page,18/9/2026
MSI,MAG 275QPF X30,27,Rapid IPS,2560x1440,300,0.5,6800,FreeSync Premium,No,"HDMI, DP",Yes,https://www.jib.co.th/web/product/readProduct/81524/58/Monitor--จอมอนิเตอร์--MSI-MAG-275QPF-X30---27-Inch-Rapid-IPS-2K-300Hz-AMD-FreeSync-Premium,JIB,Verified direct JIB product page,18/9/2026
MSI,Pro MP273 E14A,27,IPS,1920x1080,144,1,3350,AMD FreeSync,No,"HDMI, DP, VGA",Yes,https://www.jib.co.th/web/product/readProduct/81528/58/Monitor--จอมอนิเตอร์--MSI-Pro-MP273-E14A---27-Inch-IPS-FHD-144Hz-AMD-FreeSync,JIB,Verified direct JIB product page,18/9/2026
MSI,MAG 274QPF E20,27,IPS,2560x1440,200,0.5,5950,FreeSync Premium,No,"HDMI, DP, USB-C",Yes,https://www.jib.co.th/web/product/readProduct/81163/58/Monitor--จอมอนิเตอร์--MSI-MAG-274QPF-E20---27-Inch-IPS-2K-200Hz-AMD-FreeSync-Premium-USB-C,JIB,Verified direct JIB product page,18/9/2026
