No.,Product Name,Brand,Wattage,Efficiency,Cable Type,Estimated Price (THB),Product Link
1,Corsair CV550,Corsair,550W,80+ Bronze,Non-Modular,"1,790",https://www.jib.co.th/web/product/readProduct/36628/POWER-SUPPLY--%E0%B8%AD%E0%B8%B8%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%93%E0%B9%8C%E0%B8%88%E0%B9%88%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%9F--CORSAIR-CV550-550W-80-PLUS-BRONZE--CP-9020210-NA-
2,Corsair CV650,Corsair,650W,80+ Bronze,Non-Modular,"2,190",https://www.jib.co.th/web/product/readProduct/36627/POWER-SUPPLY--%E0%B8%AD%E0%B8%B8%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%93%E0%B9%8C%E0%B8%88%E0%B9%88%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%9F--CORSAIR-CV650-650W-80-PLUS-BRONZE--CP-9020211-NA-
3,Corsair CX650M,Corsair,650W,80+ Bronze,Semi-Modular,"2,590",https://www.jib.co.th/web/product/readProduct/21419/POWER-SUPPLY--%E0%B8%AD%E0%B8%B8%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%93%E0%B9%8C%E0%B8%88%E0%B9%88%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%9F--CORSAIR-650W-CX650M-80-PLUS-BRONZE--CP-9020103-NA-
4,Corsair CX750M,Corsair,750W,80+ Bronze,Semi-Modular,"2,990",https://www.jib.co.th/web/product/readProduct/19437/POWER-SUPPLY--%E0%B8%AD%E0%B8%B8%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%93%E0%B9%8C%E0%B8%88%E0%B9%88%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%9F--CORSAIR-750W-CX750M-80-PLUS-BRONZE--CP-9020061-NA-
5,Corsair RM750e,Corsair,750W,80+ Gold,Full-Modular,"4,190",https://www.jib.co.th/web/product/readProduct/59520/POWER-SUPPLY--%E0%B8%AD%E0%B8%B8%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%93%E0%B9%8C%E0%B8%88%E0%B9%88%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%9F--CORSAIR-RM750E---750W-80-PLUS-GOLD--CP-9020262-NA---BLACK---ATX-
6,Corsair RM850e,Corsair,850W,80+ Gold,Full-Modular,"4,790",https://www.jib.co.th/web/product/readProduct/54963/POWER-SUPPLY--%E0%B8%AD%E0%B8%B8%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%93%E0%B9%8C%E0%B8%88%E0%B9%88%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%9F--CORSAIR-RM850E---850W-80-PLUS-GOLD--CP-9020249-NA---ATX-
7,Corsair RM750x,Corsair,750W,80+ Gold,Full-Modular,"4,590",https://www.jib.co.th/web/product/readProduct/20236/POWER-SUPPLY--%E0%B8%AD%E0%B8%B8%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%93%E0%B9%8C%E0%B8%88%E0%B9%88%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%9F--CORSAIR-750W-RM750X-80-PLUS-GOLD--CP-9020092-NA-
8,Corsair RM850x,Corsair,850W,80+ Gold,Full-Modular,"5,290",https://www.jib.co.th/web/product/readProduct/71710/185/POWER-SUPPLY--%E0%B8%AD%E0%B8%B8%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%93%E0%B9%8C%E0%B8%88%E0%B9%88%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%9F--CORSAIR-RM850X---850W-CYBENETICS-GOLD-BLACK-ATX--CP-9020270-NA-
9,Corsair RM1000x,Corsair,1000W,80+ Gold,Full-Modular,"6,990",https://www.jib.co.th/web/product/readProduct/21814/POWER-SUPPLY-CORSAIR-RM1000X---1000W-80-PLUS-GOLD--CP-9020094-NA-
10,Corsair HX1000i,Corsair,1000W,80+ Platinum,Full-Modular,"8,590",https://www.jib.co.th/web/product/readProduct/54603/POWER-SUPPLY--%E0%B8%AD%E0%B8%B8%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%93%E0%B9%8C%E0%B8%88%E0%B9%88%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%9F--CORSAIR-HX1000I---1000W-80-PLUS-PLATINUM--CP-9020214-NA---ATX-
11,Corsair AX1600i,Corsair,1600W,80+ Titanium,Full-Modular,"16,900",https://www.jib.co.th/web/product/readProduct/30102/POWER-SUPPLY--%E0%B8%AD%E0%B8%B8%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%93%E0%B9%8C%E0%B8%88%E0%B9%88%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%9F--CORSAIR-AX1600I---1600W-80-PLUS-TITANIUM-BLACK-ATX--CP-9020087-NA-
12,Cooler Master MWE 550 Bronze V2,Cooler Master,550W,80+ Bronze,Non-Modular,"1,690",https://www.jib.co.th/web/product/readProduct/39241/POWER-SUPPLY--%E0%B8%AD%E0%B8%B8%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%93%E0%B9%8C%E0%B8%88%E0%B9%88%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%9F--COOLER-MASTER-MWE-550-BRONZE---V2-230V---550W-80-PLUS-BRONZE--MPE-5501-ACABW-BEU-
13,Cooler Master MWE 650 Bronze V2,Cooler Master,650W,80+ Bronze,Non-Modular,"2,090",https://www.jib.co.th/web/product/readProduct/78839/POWER-SUPPLY--%E0%B8%AD%E0%B8%B8%E0%B8%9B%E0%B8%81%E0%B8%A3%E0%B8%93%E0%B9%8C%E0%B8%88%E0%B9%88%E0%B8%B2%E0%B8%A2%E0%B9%84%E0%B8%9F--COOLER-MASTER-MWE-650-BRONZE---V2-230V---650W-80-PLUS-BRONZE-BLACK-ATX--MPE-6501-ACABW-BTH-
